00200521,0000000000,200010,13,198,0000000001,0000000001,01,1,1, , ,1,09,01,03,2,0,01,1,10,2,1,6,1,2,4,1, 40,10,08,1,1,04,3,1,03,07
00200521,0000000000,200010,13,198,0000000002,0000000001,02,1,1, , ,1,09,01,03,2,0,02,2,09,2,1,6,1,2,4,1, 30,08,06,1,1,05,3,3,05,04
00200521,0000000000,200010,13,198,0000000003,0000000001,03,1,1, , ,1,09,01,03,2,0,03,1,04,1,1,1,1,1,2,4,   ,  ,  , , ,05,3, ,  ,  
00200521,0000000000,200010,27,100,0000000004,0000000002,01,1,2,3,2,3,06,01,02,1,0,01,1,07,2,1,3,4,2,4,1, 35,09,07,1,1,07,3,1,04,02
00200521,0000000000,200010,27,100,0000000005,0000000002,02,1,2,3,2,3,06,01,02,1,0,02,2,06,2,1,3,4,2,4,1, 35,09,07,1,1,07,3,1,08,02
00200521,0000000000,200010,23,999,0000000006,0000000003,01,1,1, , ,1,07,04,02,1,0,01,1,15,2,1,6,1,2,2,5,   ,  ,  , , ,  ,1, ,  ,  
00200521,0000000000,200010,23,999,0000000007,0000000003,02,1,1, , ,1,07,04,02,1,0,02,2,14,2,1,6,1,2,2,5,   ,  ,  , , ,  ,1, ,  ,  
00200521,0000000000,200010,40,999,0000000008,0000000004,01,1,1, , ,1,10,02,05,4,1,01,1,14,2,1,6,1,2,2,5,   ,  ,  , , ,  ,1, ,  ,  
00200521,0000000000,200010,40,999,0000000009,0000000004,02,1,1, , ,1,10,02,05,4,1,02,2,13,2,1,6,1,2,2,3,   ,  ,  , , ,  ,1, ,  ,  
00200521,0000000000,200010,40,999,0000000010,0000000004,03,1,1, , ,1,10,02,05,4,1,03,2,09,2,1,5,1,2,4,1, 40,10,08,1,1,05,5,1,08,02
00200521,0000000000,200010,40,999,0000000011,0000000004,04,1,1, , ,1,10,02,05,4,1,04,1,09,2,1,5,1,2,4,1, 40,10,08,1,1,05,3,1,02,02
00200521,0000000000,200010,40,999,0000000012,0000000004,05,1,1, , ,1,10,02,05,4,1,07,2,03,1,1,1,1,1,1,4,   ,  ,  , , ,01,3, ,  ,  
00200521,0000000000,200010,13,198,0000000013,0000000005,01,1,2,4,3,3,04,01,01,6,0,01,2,06,1,1,3,4,2,4,1, 40,10,08,1,1,02,3,1,08,02
00200521,0000000000,200010,26,999,0000000014,0000000006,01,1,2,2,1,3,02,06,01,6,0,01,1,05,1,1,2,4,1,4,1, 10,04,04,1,1,04,5,3,08,05
